StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_12_TEXT,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q16,Q17,Q18,Q19,Q20
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What year are you currently enrolled in at the school of medicine?,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - Lecture-based learning,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - PBL,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - POM,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - Anatomy,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - Histology,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - Ultrasound,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - ACA Preceptorship,How has the transition to remote learning affected the quality of instruction you receive for each of the following curricular components? - Pre-clinical electives,How has the transition to remote learning affected your participation in each of the following curricular components? - Lecture-based learning,How has the transition to remote learning affected your participation in each of the following curricular components? - PBL,How has the transition to remote learning affected your participation in each of the following curricular components? - POM,How has the transition to remote learning affected your participation in each of the following curricular components? - Anatomy,How has the transition to remote learning affected your participation in each of the following curricular components? - Histology,How has the transition to remote learning affected your participation in each of the following curricular components? - Ultrasound,How has the transition to remote learning affected your participation in each of the following curricular components? - ACA Preceptorship,How has the transition to remote learning affected your participation in each of the following curricular components? - Pre-clinical electives,I find the following resources valuable for my remote learning. - Online question bank subscription,I find the following resources valuable for my remote learning. - Online textbooks,I find the following resources valuable for my remote learning. - Podcasted lectures,I find the following resources valuable for my remote learning. - Online office hours/review sessions,I find the following resources valuable for my remote learning. - Zoom Pro Account,I find the following resources valuable for my remote learning. - Complete Anatomy,I find the following resources valuable for my remote learning. - JOVE Science Education,I find the following resources valuable for my remote learning. - Aquifer,I find the following resources valuable for my remote learning. - OnlineMedEd,I find the following resources valuable for my remote learning. - iPad/Tablet,I find the following resources valuable for my remote learning. - Laptop,I find the following resources valuable for my remote learning. - Other:,I find the following resources valuable for my remote learning. - Other: - Text,"Since implementation of remote learning, how much additional money have you paid out of pocket for educational resources?",I felt adequately prepared to transition to remote learning.,"In terms of structure for the remote learning curriculum, which do you prefer?","Hypothetically, if some learning modules were required to be completed by certain due dates, how frequently would you prefer those due dates to occur?",I have found the following methods of communication effective in informing me about the changes in my education. - Emails,I have found the following methods of communication effective in informing me about the changes in my education. - Canvas,I have found the following methods of communication effective in informing me about the changes in my education. - Virtual Town Halls with SOM Deans,I have found the following methods of communication effective in informing me about the changes in my education. - Facebook Class Page,I have found the following methods of communication effective in informing me about the changes in my education. - University Website,I have found the following methods of communication effective in informing me about the changes in my education. - Other:,I have found the following methods of communication effective in informing me about the changes in my education. - Other: - Text,"Given the transition to remote learning, I feel that the examination process provides a fair assessment.",How do you feel your USMLE STEP 1 preparation has been affected by the transition to remote learning for your medical education curriculum?,"Given the transition to remote learning, how prepared do you feel to begin clerkships?","Since implementation of remote learning, which of the following describes your residence location:",Rate your agreement with the following statements: - I have access to sufficient internet to meet the demands of remote learning.,"Rate your agreement with the following statements: - I have access to sufficient technology (ie a computer with a webcam, iPad, etc) to meet the demands of remote learning.","Rate your agreement with the following statements: - Given my living arrangements, I have sufficient access to quiet study space to meet the demands of remote learning.","Rate your agreement with the following statements: - Overall, my current living arrangements are conducive to remote learning.","Rate your agreement with the following statements: - Given the transition to remote learning, I still feel connected to UCSD School of Medicine.","Rate your agreement with the following statements: - Given the transition to remote learning, I still feel connected to my classmates.","If you have participated in any form of tele-health during this time, please comment on your
experience:",What are the best components of the remote learning curriculum?,What gaps remain in the remote learning curriculum?,"Which components of the remote learning curriculum should be continued in the
standard curriculum in the future?","Finally and most importantly- please reflect on your own experience with remote learning
for the pre-clinical curriculum. What would you like for course directors or others in medical education
to better understand about the experience?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_13_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_6_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}"
4/15/2020 10:12,4/15/2020 10:17,100,325,TRUE,4/15/2020 10:17,R_1hPQv0LflpIiFNv,anonymous,EN,MS1,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Neutral,Neutral,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Monthly,Agree,Agree,Neutral,Agree,Disagree,,,Agree,,,Stayed at UCSD graduate student housing,Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,,There is more flexibility,Please do not schedule office hours or supplemental zoom meetings at the time that would be otherwise be in school if there were no quarantine. It ends up being hard to stay caught up on things when we are double booked and dont have time to do lectures later in the day. ,"podcasted lectures, as they were before","I feel lonely and disconnected, and that is an obstacle in my learning as an individual. There's not much that can be done about that, in all honesty. "
4/15/2020 10:14,4/15/2020 10:18,100,227,TRUE,4/15/2020 10:18,R_O75zuXTjNg5QdEt,anonymous,EN,MS2,Somewhat positively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very positively affected,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Neutral,Strongly Agree,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Agree,Agree,Agree,Disagree,,,Strongly Agree,Somewhat positively affected,Somewhat unprepared,Stayed at UCSD graduate student housing,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,,,,"Podcasted lectures, of course!","The ability to speed up lectures and increase efficiency was the greatest reason for me to podcast lectures. For me, it was not a question of not wanting to be present in school."
4/15/2020 10:13,4/15/2020 10:18,100,282,TRUE,4/15/2020 10:18,R_1hXTJvbx9k0aq5B,anonymous,EN,MS1,Neutral,Neutral,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Agree,Strongly Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Strongly Agree,,,$101-$500,Disagree,I prefer having required modules and due dates,Every few days,Agree,Agree,Disagree,Neutral,N/A: I have not received communication via this method,,,Agree,,,Stayed at UCSD graduate student housing,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,,,,,
4/15/2020 10:11,4/15/2020 10:20,100,515,TRUE,4/15/2020 10:20,R_BVv3zk9XSkpXZ9n,anonymous,EN,MS1,Somewhat positively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Very positively affected,Very positively affected,Very positively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$101-$500,Agree,I prefer the flexibility of learning material at my own time and pace,Monthly,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,N/A: I have not received communication via this method,,Agree,,,Moved outside San Diego area,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,,Being able to structure a block to my own pace. ,In person labs and activities are sacrificed and can only be postponed if they aren’t cancelled. ,All lectures should be Pre-recorded with scheduled in person office hours ,"Podcasts were not great quality before the transition. Students don’t have microphones so when they asked questions in lectures, you couldn’t hear them in the podcast and most lecturers don’t repeat them. Also using a pointer doesn’t let the podcaster see what the lecturer is pointing to making it very difficult to follow along. Since the transition, most of the lectures were Podcasts from last year which detracted from my overall understanding of the content. If this online curriculum is to remain for the remainder of the quarter and beyond, course directors should ask all lectures to be Pre-recorded this year to make online delivery clear. "
4/15/2020 10:13,4/15/2020 10:21,100,502,TRUE,4/15/2020 10:21,R_31Nw1AXJTkMppT5,anonymous,EN,MS1,,Neutral,,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Somewhat negatively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,Somewhat negatively affected,Neutral,N/A: I have not used this resource,Agree,Disagree,Agree,Neutral,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Agree,Agree,,,$0-100,Agree,I prefer having required modules and due dates,Daily,Agree,Neutral,Neutral,Neutral,N/A: I have not received communication via this method,N/A: I have not received communication via this method,,Agree,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,,I am an early riser so I do like being able to wake up early and start on lectures by six am ,POM has been greatly affected. No opportunities to practice or supplement physical exam skills. ,PBL. I think it works fine remotely ,I wish that we would have been able to participate in ACA remotely. For many of us who are not enrolled in free clinic this is our only chance to be involved in patient care. Given that free clinic is still being conducted via telehealth I was wondering if there was a way to conduct ACA remotely also. 
4/15/2020 10:11,4/15/2020 10:24,100,773,TRUE,4/15/2020 10:24,R_8eTG8yWLcTWH6Tv,anonymous,EN,MS1,Very negatively affected,Somewhat positively affected,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat positively affected,Very negatively affected,Somewhat positively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat positively affected,Agree,Neutral,Agree,Agree,Agree,Disagree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Agree,Strongly Agree,Practice questions provided by course instructor ,$101-$500,Neutral,I prefer the flexibility of learning material at my own time and pace,Biweekly,Agree,Disagree,Agree,Agree,N/A: I have not received communication via this method,,,Strongly Disagree,,,Moved outside San Diego area,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,Flexibility is the best part of remote learning ,"The educational content does not seem personalized (just given pre recorded lectures from the last year out of order). As a previous lecture-attendee, hard to fully absorb material being given in this format. Need more practice and application material to learn lectures remotely because podcasts alone are not adequate in actually transmitting very learnable knowledge",flexibility to participate in PBL virtually,Learning is much more difficult remotely. PLEASE DO NOT just give us podcasted lectures from last year. Make the lectures more concise and add more application/practice learning material and small group sessions. I feel like the way this current block (first done fully remote) has been set was was a complete disaster and has not been conducive for my learning. 
4/15/2020 10:17,4/15/2020 10:25,100,448,TRUE,4/15/2020 10:25,R_2fr4Ipgsp9QkzO9,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,Neutral,Agree,Neutral,Strongly Agree,Disagree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Strongly Disagree,I prefer having required modules and due dates,Every few days,Agree,Disagree,Neutral,Disagree,Strongly Disagree,,,Strongly Disagree,,,Moved outside San Diego area,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,,PBL,"POM, anatomy, histology, US, ACA",PBL can alternate. No other component should continue,"I feel incredibly overwhelmed by this sudden shift and ill-equipped to maintain the focus needed to engage fully in the core material of my education. I often reflect on STEP 1 in the future and realize how negatively my initial introduction to physiology will be affected by this period of my education. Although I understand all of my peers across the country are experiencing the same, it is difficult to not worry about myself individually."
4/15/2020 10:23,4/15/2020 10:26,100,176,TRUE,4/15/2020 10:26,R_6YJs7MHbd9BSLTz,anonymous,EN,MS2,N/A: I did not take this course via remote learning,Very positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Every few days,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A: I have not received communication via this method,,,Disagree,No change,Somewhat prepared,Moved outside San Diego area,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,
